30,1,1,2,0,1,0,0,6,0,487,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
39,7,2,3,0,0,0,1,6,0,346,4,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
25,7,1,3,0,1,0,1,4,4,227,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
47,0,1,6,0,1,0,0,7,1,58,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
32,7,2,6,0,0,0,0,9,2,128,3,999,2,0,-1.1,94.199,-37.5,0.884,4963.6,0
32,0,2,6,0,1,0,0,9,1,290,4,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,0
31,7,0,5,0,0,0,0,7,3,68,1,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
36,6,2,0,0,0,0,0,3,2,148,1,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
36,0,1,3,0,0,0,1,6,4,97,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
47,1,1,0,0,1,0,1,4,2,211,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
29,0,2,3,0,0,0,0,6,0,553,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
27,7,2,6,0,0,0,0,3,4,698,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
44,0,0,6,0,0,0,0,3,4,191,6,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
46,0,0,6,0,1,0,1,3,1,59,4,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
50,1,1,0,0,0,1,0,3,3,849,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,1
39,9,0,3,0,0,0,0,5,1,222,1,12,2,2,-1.8,93.369,-34.8,0.639,5008.7,1
29,9,2,6,0,1,1,0,1,4,626,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
40,4,1,3,0,0,1,0,1,4,119,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
38,9,1,5,0,1,0,0,1,1,479,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
36,9,0,5,0,0,0,1,6,4,446,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
34,0,1,6,0,0,0,0,1,3,109,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
38,9,1,6,0,1,1,0,5,3,113,1,999,1,0,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0
51,9,2,6,0,0,0,0,4,0,151,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,0
48,9,1,6,0,0,0,0,1,2,42,7,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
28,1,2,2,0,1,0,1,4,4,525,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
36,1,1,1,0,1,0,1,6,4,57,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
46,4,0,3,0,0,0,0,7,4,499,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
76,5,1,6,0,0,0,0,1,2,126,1,999,1,0,-1.7,94.027,-38.3,0.899,4991.6,0
45,2,0,5,0,1,0,0,3,3,211,3,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
32,3,1,0,0,1,1,0,6,0,340,1,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
32,0,1,6,0,0,0,1,7,2,132,1,999,0,1,-0.1,93.2,-42.0,4.592,5195.8,0
29,0,2,2,0,0,0,0,6,1,79,2,999,0,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
44,7,1,5,0,0,0,0,1,1,341,2,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
32,7,1,3,0,0,1,0,3,0,157,3,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
56,5,1,6,0,1,0,0,4,4,252,1,999,2,0,-2.9,92.963,-40.8,1.26,5076.2,0
33,1,1,2,0,1,0,0,6,2,263,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
39,4,1,3,0,0,0,0,1,0,215,3,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
24,9,1,6,0,1,1,0,9,3,89,2,3,1,2,-3.4,92.37899999999999,-29.8,0.77,5017.5,1
